,Collage,Private,Room.Board,Grad.Rate,Outstate_Tier,Apps_transformed_scaled,Top10perc_transformed_scaled,P.Undergrad_transformed_scaled,Outstate_transformed_scaled,Books_transformed_scaled,Personal_transformed_scaled,Terminal_transformed_scaled,S.F.Ratio_transformed_scaled,perc.alumni_transformed_scaled,Expend_transformed_scaled,Accept_Rate_scaled,Private_Encoded_scaled
0,Abilene Christian University,Yes,3300,60,Low,0.027794170542253215,-0.053119072030679226,0.3001555111149254,-0.6934490715406575,-0.6142542984789046,1.2713984993834933,-0.2823735232374524,1.0179463816947254,-0.7227012651918747,-0.491182698433797,-0.032372339112454566,0.6125530498969481
1,Adelphi University,Yes,6450,56,Medium,0.2829202044206756,-0.5849046607537622,0.8682389489526624,0.5562683365380876,1.3023649764046783,0.4565508868862356,-2.2481293668347866,-0.43508339754859443,-0.28448920152158647,0.5523622369818617,0.9061926295687938,0.6125530498969481
2,Adrian College,Yes,3750,54,Medium,-0.11391602631457196,-0.12094221917214981,-0.7272538841097251,0.32201070401890075,-1.0385747644227592,-0.0686551429767743,-1.0407110988557453,-0.2502164792374268,0.696881263144984,0.09639280596054699,0.14474993126166572,0.6125530498969481
3,Agnes Scott College,Yes,5450,59,Medium,-1.332769450981788,1.6144757210802636,-0.9740319705249554,0.7039260224445796,-0.6142542984789046,-0.6517337337581381,1.3645882269351624,-1.7418718980861339,1.0294623131395182,1.7269972924922468,0.6122251618760879,0.6125530498969481
4,Alaska Pacific University,Yes,4120,15,Low,-2.153049587664579,-0.5849046607537622,0.6254175275588532,-0.6567761844143085,1.5536080298286021,0.4565508868862356,-0.6870519494859656,-0.51557069273364,-3.1179783991407715,0.637043604506619,0.06495494735718245,0.6125530498969481
5,Albertson College,Yes,3335,55,High,-0.9831669114228397,0.7690207208177241,-1.1985700260580423,0.8175967857331767,-0.22919460395165178,-1.169758864803037,-0.6232192944825511,-1.2201811492616093,-0.8534518760234878,0.36485142107688673,0.4699427534045053,0.6125530498969481
6,Albertus Magnus College,Yes,5720,63,High,-1.506300016027912,-0.4994689411839058,-0.23649921549287461,0.7737527961030576,-0.22919460395165178,0.4565508868862356,0.9692990979140862,-0.624126161709994,0.47121122188858366,0.1330459306372646,1.4709627437747088,0.6125530498969481
7,Albion College,Yes,4826,73,High,0.1531056181776361,0.7226458157909561,-1.3238470126728867,0.8933599080241158,-0.6142542984789046,-0.7100928488101279,1.6789026453905742,-0.043655143285562414,1.0294623131395182,0.7502823344554891,1.0802869864699451,0.6125530498969481
8,Albright College,Yes,4400,80,High,-0.4193589015912818,0.36877700770497224,-0.06079782059426999,1.2322935057020181,-2.048308048513365,-1.7565250579131289,0.17590711389826055,-0.678954128340758,0.2788113855351543,0.7802351502104947,0.4173714627910875,0.6125530498969481
9,Alderson-Broaddus College,Yes,3380,52,Medium,-0.9918073458047845,-0.19109950858549554,-0.8587961830100912,0.13456411411234878,0.8108421980583806,0.8415717373961827,-2.0259049331637793,-0.624126161709994,-0.3835201634208818,0.17002953770068835,0.7396977547397244,0.6125530498969481
