product_title,product_brand,product_price,product_currency,pre_price,discount
Youth 530,New Balance,52.25,BHD,,
,Adidas,18.9,BHD,,-17%
,Adidas,17.99,BHD,,-41%
,Adidas,15.6,BHD,,-24%
,adidas Originals,20.38,BHD,,-33%
,New Balance,21.97,BHD,,-19%
,Adidas,13.78,BHD,,-40%
,adidas Originals,20.95,BHD,,-42%
,asics,49.51,BHD,,-6%
,adidas Originals,32.9,BHD,,
,adidas Originals,30.62,BHD,,-35%
,Adidas,18.78,BHD,,-25%
,Adidas,16.39,BHD,,-25%
,CONVERSE,14.57,BHD,,-47%
,adidas Originals,12.63,BHD,,-71%
,Nike,28,BHD,,-59%
,Adidas,11.95,BHD,,-48%
,Nike,10.02,BHD,,-72%
,Jordan,37.34,BHD,,-35%
,CONVERSE,11.5,BHD,,-41%
,PUMA,15.82,BHD,,-46%
,PUMA,17.76,BHD,,-37%
,adidas Originals,22.42,BHD,,-26%
,Adidas,13.78,BHD,,-25%
,adidas Originals,21.4,BHD,,-18%
,Nike,35.17,BHD,,
,PUMA,19.58,BHD,,-10%
,Adidas,23.79,BHD,,
,asics,42.46,BHD,,-13%
,Adidas,23.11,BHD,,-8%
,SKECHERS,12.07,BHD,,-27%
,adidas Originals,35.17,BHD,,
,UNDER ARMOUR,21.74,BHD,,-33%
,Adidas,16.39,BHD,,-25%
,CONVERSE,14.57,BHD,,-47%
,adidas Originals,28.69,BHD,,-34%
,SKECHERS,18.44,BHD,,
,Adidas,18.9,BHD,,-17%
,Adidas,20.26,BHD,,-28%
,Adidas,20.26,BHD,,-25%
,Adidas,17.87,BHD,,-22%
,PUMA,15.25,BHD,,-42%
,Adidas,16.39,BHD,,-28%
,Adidas,17.64,BHD,,-14%
,Adidas,16.74,BHD,,-27%
,Adidas,15.94,BHD,,-27%
,Nike,28,BHD,,-59%
,Adidas,17.64,BHD,,-10%
,Adidas,16.39,BHD,,-25%
,Adidas,17.76,BHD,,-29%
,SKECHERS,14,BHD,,-16%
,PUMA,11.38,BHD,,-45%
,Adidas,17.07,BHD,,-25%
,Adidas,11.95,BHD,,-48%
,PUMA,13.32,BHD,,-39%
,adidas Originals,14.68,BHD,,-29%
,Nike,10.02,BHD,,-72%
,Adidas,11.16,BHD,,-21%
,adidas Originals,27.43,BHD,,-24%
,Adidas,23.68,BHD,,-5%
,Adidas,17.07,BHD,,-25%
,Adidas,23.68,BHD,,-5%
,adidas Originals,15.48,BHD,,-57%
,Adidas,17.07,BHD,,-25%
,adidas Originals,20.95,BHD,,-42%
,PUMA,11.38,BHD,,-45%
,Adidas,18.33,BHD,,-35%
,Adidas,14.57,BHD,,-21%
,Adidas,20.03,BHD,,-23%
Youth 530,New Balance,52.25,BHD,,
,adidas Originals,18.21,BHD,,-33%
,adidas Originals,19.35,BHD,,-41%
,adidas Originals,26.52,BHD,,-26%
,PUMA,11.73,BHD,,-46%
,Jordan,37.34,BHD,,-35%
,PUMA,9.79,BHD,,-55%
,BMW Motorsport,11.99,BHD,,-69%
,adidas Originals,16.28,BHD,,-47%
,Adidas,12.52,BHD,,-54%
,Nike,14.91,BHD,,-61%
,VANS,10.81,BHD,,-57%
